
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010032                       # Number of seconds simulated (Second)
simTicks                                  10031754500                       # Number of ticks simulated (Tick)
finalTick                                 10031754500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    119.79                       # Real time elapsed on the host (Second)
hostTickRate                                 83743256                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     707096                       # Number of bytes of host memory used (Byte)
simInsts                                     25475897                       # Number of instructions simulated (Count)
simOps                                       38943855                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   212668                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     325096                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         20063515                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.787549                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.269762                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        61383243                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       96                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       54906267                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  18540                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             22439462                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          35332828                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  54                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            19877384                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.762248                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.338751                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   5827153     29.32%     29.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1170431      5.89%     35.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2383972     11.99%     47.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2670048     13.43%     60.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2778881     13.98%     74.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2142720     10.78%     85.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1663498      8.37%     93.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    777812      3.91%     97.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    462869      2.33%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              19877384                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
